capacity,voltage
0.00000,3.46934
3.40000,3.21531
6.80000,3.20285
10.20000,3.20267
13.60000,3.19663
17.00000,3.19778
20.40000,3.20001
23.80000,3.19448
27.20000,3.19267
30.60000,3.19156
34.00000,3.18875
37.40000,3.18873
40.80000,3.18735
44.20000,3.18734
47.60000,3.18590
51.00000,3.18596
54.40000,3.18026
57.80000,3.18037
61.20000,3.17744
64.60000,3.17620
68.00000,3.17480
71.40000,3.17339
74.80000,3.17200
78.20000,3.17199
81.60000,3.16837
85.00000,3.16235
88.40000,3.15944
91.80000,3.15104
95.20000,3.14524
98.60000,3.13566
102.00000,3.13291
105.40000,3.12593
108.80000,3.10520
112.20000,3.06475
115.60000,2.98840
119.00000,2.82915
122.40000,2.59982
