theta,E
0.000010,4.698135
0.021332,4.696226
0.046383,4.694646
0.071447,4.693046
0.096511,4.691423
0.121574,4.689775
0.146638,4.688098
0.171702,4.686389
0.196766,4.684646
0.221829,4.682865
0.246893,4.681042
0.271957,4.679173
0.297020,4.677253
0.322084,4.675279
0.347148,4.673244
0.372212,4.671144
0.397275,4.668970
0.422339,4.666717
0.447403,4.664374
0.472466,4.661934
0.497530,4.659385
0.522594,4.656715
0.547658,4.653908
0.572721,4.650949
0.597785,4.647815
0.622849,4.644484
0.647912,4.640925
0.672976,4.637104
0.698040,4.632973
0.723104,4.628476
0.748167,4.623538
0.773231,4.618062
0.798295,4.611911
0.823358,4.604893
0.848422,4.596723
0.868621,4.588999
