theta,E
0.000010,4.801857
0.003754,4.791304
0.008827,4.787323
0.015152,4.784323
0.022348,4.781806
0.030058,4.779584
0.038058,4.777566
0.046217,4.775701
0.054464,4.773954
0.062760,4.772306
0.071082,4.770741
0.079418,4.769248
0.087763,4.767817
0.096112,4.766442
0.104464,4.765115
0.112817,4.763833
0.121171,4.762591
0.129525,4.761385
0.137879,4.760212
0.146233,4.759068
0.154588,4.757953
0.162943,4.756862
0.171297,4.755795
0.179652,4.754748
0.188006,4.753721
0.196361,4.752713
0.204715,4.751720
0.213070,4.750743
0.221424,4.749781
0.229779,4.748831
0.238134,4.747894
0.246488,4.746967
0.254843,4.746051
0.263197,4.745144
0.271552,4.744246
0.279906,4.743356
0.288261,4.742473
0.296616,4.741596
0.304970,4.740726
0.313325,4.739861
0.321679,4.739000
0.330034,4.738144
0.338388,4.737292
0.346743,4.736443
0.355098,4.735596
0.363452,4.734751
0.371807,4.733909
0.380161,4.733067
0.388516,4.732226
0.396870,4.731386
0.405225,4.730546
0.413580,4.729704
0.421934,4.728862
0.430289,4.728018
0.438643,4.727173
0.446998,4.726325
0.455352,4.725474
0.463707,4.724620
0.472062,4.723763
0.480416,4.722900
0.488771,4.722034
0.497125,4.721162
0.505480,4.720284
0.513834,4.719400
0.522189,4.718509
0.530544,4.717611
0.538898,4.716704
0.547253,4.715790
0.555607,4.714866
0.563962,4.713932
0.572316,4.712987
0.580671,4.712031
0.589026,4.711063
0.597380,4.710082
0.605735,4.709087
0.614089,4.708077
0.622444,4.707052
0.630798,4.706009
0.639153,4.704949
0.647508,4.703869
0.655862,4.702769
0.664217,4.701647
0.672571,4.700501
0.680926,4.699330
0.689280,4.698133
0.697635,4.696906
0.705990,4.695648
0.714344,4.694357
0.722699,4.693029
0.731053,4.691663
0.739408,4.690254
0.747762,4.688799
0.756117,4.687295
0.764472,4.685736
0.772826,4.684118
0.781181,4.682435
0.789535,4.680679
0.797890,4.678844
0.806244,4.676921
0.814599,4.674899
0.822954,4.672766
0.831308,4.670508
0.839663,4.668108
0.848017,4.665545
0.856372,4.662794
0.864726,4.659822
0.873081,4.656591
0.881436,4.653047
0.889790,4.649124
0.898145,4.644729
0.906499,4.639733
0.914854,4.633950
0.923208,4.627093
0.931563,4.618693
0.939918,4.607902
0.948272,4.592953
0.950009,4.589000
