l,xi,xmax
-4.0,2.0,0.997055
-4.0,1.9,0.997054
-4.0,1.8,0.997053
-4.0,1.7,0.997051
-4.0,1.6,0.997049
-4.0,1.5,0.997047
-4.0,1.4,0.997044
-4.0,1.3,0.99704
-4.0,1.2,0.997035
-4.0,1.1,0.997029
-4.0,1.0,0.997021
-4.0,0.9,0.997011
-4.0,0.8,0.996998
-4.0,0.7,0.996983
-4.0,0.6,0.996963
-4.0,0.5,0.996938
-4.0,0.4,0.996907
-4.0,0.3,0.996868
-4.0,0.2,0.996819
-4.0,0.1,0.996756
-4.0,0.0,0.996678
-4.0,-0.1,0.99658
-4.0,-0.2,0.996455
-4.0,-0.3,0.996299
-4.0,-0.4,0.996102
-4.0,-0.5,0.995855
-4.0,-0.6,0.995543
-4.0,-0.7,0.99515
-4.0,-0.8,0.994656
-4.0,-0.9,0.994034
-4.0,-1.0,0.993251
-4.0,-1.1,0.992265
-4.0,-1.2,0.991024
-4.0,-1.3,0.989461
-4.0,-1.4,0.987494
-4.0,-1.5,0.985017
-4.0,-1.6,0.981899
-4.0,-1.7,0.977975
-4.0,-1.8,0.973033
-4.0,-1.9,0.966812
-4.0,-2.0,0.958981
-4.0,-2.1,0.949121
-4.0,-2.2,0.936709
-4.0,-2.3,0.921083
-4.0,-2.4,0.901411
-4.0,-2.5,0.876645
-4.0,-2.6,0.845467
-4.0,-2.7,0.806216
-4.0,-2.8,0.756801
-4.0,-2.9,0.694593
-4.0,-3.0,0.616276
-4.0,-3.1,0.517682
-4.0,-3.2,0.39356
-4.0,-3.3,0.237298
-4.0,-3.4,0.040577
-3.75,2.0,0.997028
-3.75,1.9,0.997027
-3.75,1.8,0.997025
-3.75,1.7,0.997023
-3.75,1.6,0.99702
-3.75,1.5,0.997017
-3.75,1.4,0.997013
-3.75,1.3,0.997008
-3.75,1.2,0.997001
-3.75,1.1,0.996993
-3.75,1.0,0.996982
-3.75,0.9,0.996969
-3.75,0.8,0.996953
-3.75,0.7,0.996932
-3.75,0.6,0.996905
-3.75,0.5,0.996872
-3.75,0.4,0.996831
-3.75,0.3,0.996778
-3.75,0.2,0.996712
-3.75,0.1,0.996629
-3.75,0.0,0.996525
-3.75,-0.1,0.996394
-3.75,-0.2,0.996228
-3.75,-0.3,0.99602
-3.75,-0.4,0.995757
-3.75,-0.5,0.995427
-3.75,-0.6,0.995011
-3.75,-0.7,0.994488
-3.75,-0.8,0.993829
-3.75,-0.9,0.993
-3.75,-1.0,0.991955
-3.75,-1.1,0.99064
-3.75,-1.2,0.988985
-3.75,-1.3,0.986901
-3.75,-1.4,0.984278
-3.75,-1.5,0.980976
-3.75,-1.6,0.976818
-3.75,-1.7,0.971584
-3.75,-1.8,0.964994
-3.75,-1.9,0.956698
-3.75,-2.0,0.946255
-3.75,-2.1,0.933107
-3.75,-2.2,0.916555
-3.75,-2.3,0.895717
-3.75,-2.4,0.869484
-3.75,-2.5,0.836458
-3.75,-2.6,0.794882
-3.75,-2.7,0.742539
-3.75,-2.8,0.676644
-3.75,-2.9,0.593688
-3.75,-3.0,0.489251
-3.75,-3.1,0.357774
-3.75,-3.2,0.192254
-3.75,-3.3,0.0
-3.75,-3.4,0.0
-3.5,2.0,0.99698
-3.5,1.9,0.996978
-3.5,1.8,0.996976
-3.5,1.7,0.996973
-3.5,1.6,0.99697
-3.5,1.5,0.996965
-3.5,1.4,0.99696
-3.5,1.3,0.996953
-3.5,1.2,0.996944
-3.5,1.1,0.996933
-3.5,1.0,0.996919
-3.5,0.9,0.996902
-3.5,0.8,0.996879
-3.5,0.7,0.996852
-3.5,0.6,0.996817
-3.5,0.5,0.996773
-3.5,0.4,0.996717
-3.5,0.3,0.996648
-3.5,0.2,0.99656
-3.5,0.1,0.996449
-3.5,0.0,0.99631
-3.5,-0.1,0.996134
-3.5,-0.2,0.995914
-3.5,-0.3,0.995636
-3.5,-0.4,0.995286
-3.5,-0.5,0.994846
-3.5,-0.6,0.994291
-3.5,-0.7,0.993593
-3.5,-0.8,0.992714
-3.5,-0.9,0.991608
-3.5,-1.0,0.990215
-3.5,-1.1,0.988462
-3.5,-1.2,0.986255
-3.5,-1.3,0.983476
-3.5,-1.4,0.979978
-3.5,-1.5,0.975574
-3.5,-1.6,0.97003
-3.5,-1.7,0.963049
-3.5,-1.8,0.954262
-3.5,-1.9,0.9432
-3.5,-2.0,0.929273
-3.5,-2.1,0.91174
