l,xi,xmax
-4.0,2.0,0.997054
-4.0,1.9,0.997052
-4.0,1.8,0.99705
-4.0,1.7,0.997048
-4.0,1.6,0.997045
-4.0,1.5,0.997042
-4.0,1.4,0.997037
-4.0,1.3,0.997032
-4.0,1.2,0.997025
-4.0,1.1,0.997016
-4.0,1.0,0.997005
-4.0,0.9,0.996991
-4.0,0.8,0.996974
-4.0,0.7,0.996952
-4.0,0.6,0.996924
-4.0,0.5,0.996889
-4.0,0.4,0.996844
-4.0,0.3,0.996789
-4.0,0.2,0.996719
-4.0,0.1,0.996631
-4.0,0.0,0.99652
-4.0,-0.1,0.996381
-4.0,-0.2,0.996218
-4.0,-0.3,0.995998
-4.0,-0.4,0.99572
-4.0,-0.5,0.99537
-4.0,-0.6,0.994931
-4.0,-0.7,0.994376
-4.0,-0.8,0.993679
-4.0,-0.9,0.992801
-4.0,-1.0,0.991696
-4.0,-1.1,0.990304
-4.0,-1.2,0.988552
-4.0,-1.3,0.986346
-4.0,-1.4,0.98357
-4.0,-1.5,0.980074
-4.0,-1.6,0.975673
-4.0,-1.7,0.970133
-4.0,-1.8,0.963158
-4.0,-1.9,0.954378
-4.0,-2.0,0.943323
-4.0,-2.1,0.929407
-4.0,-2.2,0.911888
-4.0,-2.3,0.889832
-4.0,-2.4,0.862065
-4.0,-2.5,0.827109
-4.0,-2.6,0.783101
-4.0,-2.7,0.727699
-4.0,-2.8,0.657952
-4.0,-2.9,0.570146
-4.0,-3.0,0.459604
-4.0,-3.1,0.32044
-4.0,-3.2,0.145244
-3.75,2.0,0.997026
-3.75,1.9,0.997024
-3.75,1.8,0.997021
-3.75,1.7,0.997018
-3.75,1.6,0.997015
-3.75,1.5,0.99701
-3.75,1.4,0.997004
-3.75,1.3,0.996997
-3.75,1.2,0.996987
-3.75,1.1,0.996976
-3.75,1.0,0.996961
-3.75,0.9,0.996942
-3.75,0.8,0.996919
-3.75,0.7,0.99689
-3.75,0.6,0.996852
-3.75,0.5,0.996806
-3.75,0.4,0.996747
-3.75,0.3,0.996673
-3.75,0.2,0.99658
-3.75,0.1,0.996463
-3.75,0.0,0.996315
-3.75,-0.1,0.996129
-3.75,-0.2,0.995908
-3.75,-0.3,0.995614
-3.75,-0.4,0.995244
-3.75,-0.5,0.994778
-3.75,-0.6,0.994191
-3.75,-0.7,0.993452
-3.75,-0.8,0.992522
-3.75,-0.9,0.991351
-3.75,-1.0,0.989877
-3.75,-1.1,0.988021
-3.75,-1.2,0.985685
-3.75,-1.3,0.982744
-3.75,-1.4,0.979041
-3.75,-1.5,0.974379
-3.75,-1.6,0.968511
-3.75,-1.7,0.961123
-3.75,-1.8,0.951822
-3.75,-1.9,0.940113
-3.75,-2.0,0.925372
-3.75,-2.1,0.906814
-3.75,-2.2,0.883451
-3.75,-2.3,0.854039
-3.75,-2.4,0.817012
-3.75,-2.5,0.770397
-3.75,-2.6,0.711712
-3.75,-2.7,0.637832
-3.75,-2.8,0.544823
-3.75,-2.9,0.427731
-3.75,-3.0,0.280322
-3.75,-3.1,0.094744
-3.75,-3.2,0.0
-3.5,2.0,0.996977
-3.5,1.9,0.996975
-3.5,1.8,0.996972
-3.5,1.7,0.996968
-3.5,1.6,0.996963
-3.5,1.5,0.996956
-3.5,1.4,0.996949
-3.5,1.3,0.996939
-3.5,1.2,0.996926
-3.5,1.1,0.996911
-3.5,1.0,0.996891
-3.5,0.9,0.996866
-3.5,0.8,0.996835
-3.5,0.7,0.996796
-3.5,0.6,0.996746
-3.5,0.5,0.996684
-3.5,0.4,0.996606
-3.5,0.3,0.996507
-3.5,0.2,0.996383
-3.5,0.1,0.996226
-3.5,0.0,0.996042
-3.5,-0.1,0.995795
-3.5,-0.2,0.995483
-3.5,-0.3,0.995091
-3.5,-0.4,0.994597
-3.5,-0.5,0.993976
-3.5,-0.6,0.993193
-3.5,-0.7,0.992208
-3.5,-0.8,0.990968
-3.5,-0.9,0.989406
-3.5,-1.0,0.98744
-3.5,-1.1,0.984966
-3.5,-1.2,0.98185
-3.5,-1.3,0.977928
-3.5,-1.4,0.97299
-3.5,-1.5,0.966774
-3.5,-1.6,0.958948
-3.5,-1.7,0.949096
-3.5,-1.8,0.936693
-3.5,-1.9,0.921079
-3.5,-2.0,0.901422
-3.5,-2.1,0.876675
-3.5,-2.2,0.84552
-3.5,-2.3,0.806298
-3.5,-2.4,0.756921
-3.5,-2.5,0.694759
-3.5,-2.6,0.616501
-3.5,-2.7,0.517981
-3.5,-2.8,0.393951
-3.5,-2.9,0.237807
-3.5,-3.0,0.041233
-3.5,-3.1,0.0
-3.5,-3.2,0.0
-3.25,2.0,0.996892
-3.25,1.9,0.996889
-3.25,1.8,0.996885
-3.25,1.7,0.996879
-3.25,1.6,0.996873
-3.25,1.5,0.996864
-3.25,1.4,0.996854
-3.25,1.3,0.996841
-3.25,1.2,0.996824
-3.25,1.1,0.996803
-3.25,1.0,0.996777
-3.25,0.9,0.996744
-3.25,0.8,0.996702
-3.25,0.7,0.99665
-3.25,0.6,0.996584
-3.25,0.5,0.996501
-3.25,0.4,0.996396
-3.25,0.3,0.996265
-3.25,0.2,0.996099
-3.25,0.1,0.99589
-3.25,0.0,0.995628
-3.25,-0.1,0.995297
-3.25,-0.2,0.994896
-3.25,-0.3,0.994373
-3.25,-0.4,0.993715
-3.25,-0.5,0.992886
-3.25,-0.6,0.991842
-3.25,-0.7,0.990528
-3.25,-0.8,0.988874
-3.25,-0.9,0.986792
-3.25,-1.0,0.984171
-3.25,-1.1,0.980871
-3.25,-1.2,0.976716
-3.25,-1.3,0.971486
-3.25,-1.4,0.964901
-3.25,-1.5,0.956612
-3.25,-1.6,0.946176
-3.25,-1.7,0.933038
-3.25,-1.8,0.916498
-3.25,-1.9,0.895676
-3.25,-2.0,0.869463
-3.25,-2.1,0.836462
-3.25,-2.2,0.794916
-3.25,-2.3,0.742613
-3.25,-2.4,0.676768
-3.25,-2.5,0.593873
-3.25,-2.6,0.489515
-3.25,-2.7,0.358136
-3.25,-2.8,0.19274
-3.25,-2.9,0.0
-3.25,-3.0,0.0
-3.25,-3.1,0.0
-3.25,-3.2,0.0
-3.0,2.0,0.996742
-3.0,1.9,0.996737
-3.0,1.8,0.996732
-3.0,1.7,0.996725
-3.0,1.6,0.996716
-3.0,1.5,0.996705
-3.0,1.4,0.996691
-3.0,1.3,0.996674
-3.0,1.2,0.996651
-3.0,1.1,0.996624
-3.0,1.0,0.996589
-3.0,0.9,0.996545
-3.0,0.8,0.996489
-3.0,0.7,0.996419
-3.0,0.6,0.996331
-3.0,0.5,0.996221
-3.0,0.4,0.996081
-3.0,0.3,0.995905
-3.0,0.2,0.995685
-3.0,0.1,0.995407
-3.0,0.0,0.995056
-3.0,-0.1,0.994615
-3.0,-0.2,0.994076
-3.0,-0.3,0.993379
-3.0,-0.4,0.992501
-3.0,-0.5,0.991395
-3.0,-0.6,0.990004
-3.0,-0.7,0.988252
-3.0,-0.8,0.986046
-3.0,-0.9,0.98327
-3.0,-1.0,0.979774
-3.0,-1.1,0.975374
-3.0,-1.2,0.969833
-3.0,-1.3,0.962859
-3.0,-1.4,0.954078
-3.0,-1.5,0.943024
-3.0,-1.6,0.929107
-3.0,-1.7,0.911588
-3.0,-1.8,0.889532
-3.0,-1.9,0.861765
-3.0,-2.0,0.826809
-3.0,-2.1,0.782801
-3.0,-2.2,0.727399
-3.0,-2.3,0.657652
-3.0,-2.4,0.569846
-3.0,-2.5,0.459304
-3.0,-2.6,0.32014
-3.0,-2.7,0.144944
-3.0,-2.8,0.0
-3.0,-2.9,0.0
-3.0,-3.0,0.0
-3.0,-3.1,0.0
-3.0,-3.2,0.0
-2.75,2.0,0.996477
-2.75,1.9,0.996471
-2.75,1.8,0.996464
-2.75,1.7,0.996454
-2.75,1.6,0.996443
-2.75,1.5,0.996428
