l	xi	xmax
-4	2	0.997054
-4	1.9	0.997052
-4	1.8	0.99705
-4	1.7	0.997048
-4	1.6	0.997045
-4	1.5	0.997042
-4	1.4	0.997037
-4	1.3	0.997032
-4	1.2	0.997025
-4	1.1	0.997016
-4	1	0.997005
-4	0.9	0.996991
-4	0.8	0.996974
-4	0.7	0.996952
-4	0.6	0.996924
-4	0.5	0.996889
-4	0.4	0.996844
-4	0.3	0.996789
-4	0.2	0.996719
-4	0.1	0.996631
-4	0	0.99652
-4	-0.1	0.996381
-4	-0.25	0.996113
-4	-0.35	0.995866
-4	-0.45	0.995554
-4	-0.55	0.995162
-4	-0.65	0.994668
-4	-0.75	0.994046
-4	-0.85	0.993263
-4	-0.95	0.992278
-4	-1.05	0.991037
-4	-1.15	0.989475
-4	-1.25	0.987509
-4	-1.35	0.985034
-4	-1.45	0.981918
-4	-1.55	0.977995
-4	-1.65	0.973057
-4	-1.75	0.966839
-4	-1.85	0.959012
-4	-1.95	0.949158
-4	-2.05	0.936753
-4	-2.15	0.921135
-4	-2.25	0.901474
-4	-2.35	0.876722
-4	-2.45	0.845561
-4	-2.55	0.806332
-4	-2.65	0.756945
-4	-2.75	0.694771
-4	-2.85	0.616498
-4	-2.95	0.517959
-4	-3.05	0.393905
-4	-3.15	0.237731
-4	-3.25	0.041119
-3.75	2	0.997026
-3.75	1.9	0.997024
-3.75	1.8	0.997021
-3.75	1.7	0.997018
-3.75	1.6	0.997015
-3.75	1.5	0.99701
-3.75	1.4	0.997004
-3.75	1.3	0.996997
-3.75	1.2	0.996987
-3.75	1.1	0.996976
-3.75	1	0.996961
-3.75	0.9	0.996942
-3.75	0.8	0.996919
-3.75	0.7	0.99689
-3.75	0.6	0.996852
-3.75	0.5	0.996806
-3.75	0.4	0.996747
-3.75	0.3	0.996673
-3.75	0.2	0.99658
-3.75	0.1	0.996463
-3.75	0	0.996315
-3.75	-0.1	0.996129
-3.75	-0.25	0.995756
-3.75	-0.35	0.995425
-3.75	-0.45	0.995009
-3.75	-0.55	0.994485
-3.75	-0.65	0.993825
-3.75	-0.75	0.992995
-3.75	-0.85	0.991949
-3.75	-0.95	0.990633
-3.75	-1.05	0.988975
-3.75	-1.15	0.986889
-3.75	-1.25	0.984263
-3.75	-1.35	0.980956
-3.75	-1.45	0.976794
-3.75	-1.55	0.971553
-3.75	-1.65	0.964956
-3.75	-1.75	0.956651
-3.75	-1.85	0.946195
-3.75	-1.95	0.933031
-3.75	-2.05	0.916459
-3.75	-2.15	0.895597
-3.75	-2.25	0.869333
-3.75	-2.35	0.836268
-3.75	-2.45	0.794641
-3.75	-2.55	0.742237
-3.75	-2.65	0.676264
-3.75	-2.75	0.593209
-3.75	-2.85	0.488649
-3.75	-2.95	0.357016
-3.75	-3.05	0.191299
-3.5	2	0.996977
-3.5	1.9	0.996975
-3.5	1.8	0.996972
-3.5	1.7	0.996968
-3.5	1.6	0.996963
-3.5	1.5	0.996956
-3.5	1.4	0.996949
-3.5	1.3	0.996939
-3.5	1.2	0.996926
-3.5	1.1	0.996911
-3.5	1	0.996891
-3.5	0.9	0.996866
-3.5	0.8	0.996835
-3.5	0.7	0.996796
-3.5	0.6	0.996746
-3.5	0.5	0.996684
-3.5	0.4	0.996606
-3.5	0.3	0.996507
-3.5	0.2	0.996383
-3.5	0.1	0.996226
-3.5	-0.25	0.995297
-3.5	-0.35	0.994857
-3.5	-0.45	0.994303
-3.5	-0.55	0.993605
-3.5	-0.65	0.992727
-3.5	-0.75	0.991621
-3.5	-0.85	0.990229
-3.5	-0.95	0.988477
-3.5	-1.05	0.986271
-3.5	-1.15	0.983494
-3.5	-1.25	0.979998
-3.5	-1.35	0.975596
-3.5	-1.45	0.970055
-3.5	-1.55	0.963078
-3.5	-1.65	0.954296
-3.5	-1.75	0.94324
-3.5	-1.85	0.929321
-3.5	-1.95	0.911798
-3.5	-2.05	0.889738
-3.5	-2.15	0.861965
-3.5	-2.25	0.827002
-3.5	-2.35	0.782986
-3.5	-2.45	0.727574
-3.5	-2.55	0.657813
-3.5	-2.65	0.56999
-3.5	-2.75	0.459427
-3.5	-2.85	0.320236
-3.5	-2.95	0.145006
-3.25	2	0.996892
-3.25	1.9	0.996889
-3.25	1.8	0.996885
-3.25	1.7	0.996879
-3.25	1.6	0.996873
-3.25	1.5	0.996864
-3.25	1.4	0.996854
-3.25	1.3	0.996841
-3.25	1.2	0.996824
-3.25	1.1	0.996803
-3.25	1	0.996777
-3.25	0.9	0.996744
-3.25	0.8	0.996702
-3.25	0.7	0.99665
-3.25	0.6	0.996584
-3.25	0.5	0.996501
-3.25	0.4	0.996396
-3.25	0.3	0.996265
-3.25	0.2	0.996099
-3.25	0.1	0.99589
-3.25	0	0.995628
-3.25	-0.1	0.995297
-3.25	-0.25	0.994634
-3.25	-0.35	0.994046
-3.25	-0.45	0.993306
-3.25	-0.55	0.992374
-3.25	-0.65	0.991201
-3.25	-0.75	0.989724
-3.25	-0.85	0.987864
-3.25	-0.95	0.985524
-3.25	-1.05	0.982576
-3.25	-1.15	0.978867
