l,xi,xmax
-4.0,2.0,0.99706
-4.0,1.9,0.99706
-4.0,1.8,0.99705
-4.0,1.7,0.99705
-4.0,1.6,0.99705
-4.0,1.5,0.99705
-4.0,1.4,0.99705
-4.0,1.3,0.99704
-4.0,1.2,0.99704
-4.0,1.1,0.99703
-4.0,1.0,0.99703
-4.0,0.9,0.99702
-4.0,0.8,0.99701
-4.0,0.7,0.997
-4.0,0.6,0.99698
-4.0,0.5,0.99696
-4.0,0.4,0.99694
-4.0,0.3,0.9969
-4.0,0.2,0.99686
-4.0,0.1,0.99681
-4.0,0.0,0.99675
-4.0,-0.1,0.99667
-4.0,-0.2,0.99657
-4.0,-0.3,0.99644
-4.0,-0.4,0.99628
-4.0,-0.5,0.99608
-4.0,-0.6,0.99582
-4.0,-0.7,0.9955
-4.0,-0.8,0.9951
-4.0,-0.9,0.99459
-4.0,-1.0,0.99395
-4.0,-1.1,0.99314
-4.0,-1.2,0.99213
-4.0,-1.3,0.99086
-4.0,-1.4,0.98925
-4.0,-1.5,0.98723
-4.0,-1.6,0.98468
-4.0,-1.7,0.98148
-4.0,-1.8,0.97744
-4.0,-1.9,0.97236
-4.0,-2.0,0.96597
-4.0,-2.1,0.95792
-4.0,-2.2,0.94778
-4.0,-2.3,0.93502
-4.0,-2.4,0.91896
-4.0,-2.5,0.89874
-4.0,-2.6,0.87328
-4.0,-2.7,0.84124
-4.0,-2.8,0.80089
-4.0,-2.9,0.7501
-4.0,-3.0,0.68615
-4.0,-3.1,0.60565
-4.0,-3.2,0.5043
-4.0,-3.3,0.37672
-4.0,-3.4,0.2161
-4.0,-3.5,0.01388
-3.75,2.0,0.99703
-3.75,1.9,0.99703
-3.75,1.8,0.99703
-3.75,1.7,0.99703
-3.75,1.6,0.99702
-3.75,1.5,0.99702
-3.75,1.4,0.99702
-3.75,1.3,0.99701
-3.75,1.2,0.99701
-3.75,1.1,0.997
-3.75,1.0,0.99699
-3.75,0.9,0.99698
-3.75,0.8,0.99697
-3.75,0.7,0.99695
-3.75,0.6,0.99693
-3.75,0.5,0.9969
-3.75,0.4,0.99687
-3.75,0.3,0.99682
-3.75,0.2,0.99677
-3.75,0.1,0.9967
-3.75,0.0,0.99662
-3.75,-0.1,0.99651
-3.75,-0.2,0.99638
-3.75,-0.3,0.99621
-3.75,-0.4,0.99599
-3.75,-0.5,0.99572
-3.75,-0.6,0.99538
-3.75,-0.7,0.99496
-3.75,-0.8,0.99442
-3.75,-0.9,0.99374
-3.75,-1.0,0.99289
-3.75,-1.1,0.99181
-3.75,-1.2,0.99046
-3.75,-1.3,0.98876
-3.75,-1.4,0.98662
-3.75,-1.5,0.98392
-3.75,-1.6,0.98053
-3.75,-1.7,0.97625
-3.75,-1.8,0.97087
-3.75,-1.9,0.9641
-3.75,-2.0,0.95557
-3.75,-2.1,0.94484
-3.75,-2.2,0.93132
-3.75,-2.3,0.91431
-3.75,-2.4,0.89289
-3.75,-2.5,0.86592
-3.75,-2.6,0.83198
-3.75,-2.7,0.78924
-3.75,-2.8,0.73544
-3.75,-2.9,0.6677
-3.75,-3.0,0.58243
-3.75,-3.1,0.47508
-3.75,-3.2,0.33993
-3.75,-3.3,0.16979
-3.75,-3.4,0.0
-3.75,-3.5,0.0
-3.5,2.0,0.99698
-3.5,1.9,0.99698
-3.5,1.8,0.99698
-3.5,1.7,0.99698
-3.5,1.6,0.99697
-3.5,1.5,0.99697
-3.5,1.4,0.99696
-3.5,1.3,0.99696
-3.5,1.2,0.99695
-3.5,1.1,0.99694
-3.5,1.0,0.99693
-3.5,0.9,0.99692
-3.5,0.8,0.9969
-3.5,0.7,0.99688
-3.5,0.6,0.99685
-3.5,0.5,0.99681
-3.5,0.4,0.99677
-3.5,0.3,0.99671
-3.5,0.2,0.99664
-3.5,0.1,0.99655
-3.5,0.0,0.99643
-3.5,-0.1,0.99629
-3.5,-0.2,0.99611
-3.5,-0.3,0.99588
-3.5,-0.4,0.9956
-3.5,-0.5,0.99524
-3.5,-0.6,0.99479
-3.5,-0.7,0.99422
-3.5,-0.8,0.9935
-3.5,-0.9,0.9926
-3.5,-1.0,0.99146
-3.5,-1.1,0.99003
-3.5,-1.2,0.98822
-3.5,-1.3,0.98596
-3.5,-1.4,0.9831
-3.5,-1.5,0.9795
-3.5,-1.6,0.97498
-3.5,-1.7,0.96928
-3.5,-1.8,0.9621
-3.5,-1.9,0.95307
-3.5,-2.0,0.9417
-3.5,-2.1,0.92738
-3.5,-2.2,0.90936
-3.5,-2.3,0.88667
-3.5,-2.4,0.85811
-3.5,-2.5,0.82215
-3.5,-2.6,0.77688
-3.5,-2.7,0.71989
-3.5,-2.8,0.64814
-3.5,-2.9,0.55782
-3.5,-3.0,0.44411
-3.5,-3.1,0.30095
-3.5,-3.2,0.12073
-3.5,-3.3,0.0
-3.5,-3.4,0.0
-3.5,-3.5,0.0
-3.25,2.0,0.9969
-3.25,1.9,0.99689
-3.25,1.8,0.99689
-3.25,1.7,0.99689
-3.25,1.6,0.99689
-3.25,1.5,0.99688
-3.25,1.4,0.99688
-3.25,1.3,0.99687
-3.25,1.2,0.99686
-3.25,1.1,0.99685
-3.25,1.0,0.99683
-3.25,0.9,0.99681
-3.25,0.8,0.99679
-3.25,0.7,0.99676
-3.25,0.6,0.99672
-3.25,0.5,0.99667
-3.25,0.4,0.99661
-3.25,0.3,0.99653
-3.25,0.2,0.99644
-3.25,0.1,0.99632
-3.25,0.0,0.99617
-3.25,-0.1,0.99598
-3.25,-0.2,0.99574
-3.25,-0.3,0.99543
-3.25,-0.4,0.99505
-3.25,-0.5,0.99457
-3.25,-0.6,0.99397
-3.25,-0.7,0.99321
-3.25,-0.8,0.99225
-3.25,-0.9,0.99105
-3.25,-1.0,0.98953
-3.25,-1.1,0.98762
-3.25,-1.2,0.98522
-3.25,-1.3,0.98219
-3.25,-1.4,0.97838
-3.25,-1.5,0.97359
-3.25,-1.6,0.96755
-3.25,-1.7,0.95995
-3.25,-1.8,0.95039
-3.25,-1.9,0.93834
-3.25,-2.0,0.92318
-3.25,-2.1,0.90409
-3.25,-2.2,0.88005
-3.25,-2.3,0.8498
-3.25,-2.4,0.81171
-3.25,-2.5,0.76376
-3.25,-2.6,0.70339
-3.25,-2.7,0.62739
-3.25,-2.8,0.53171
-3.25,-2.9,0.41126
-3.25,-3.0,0.25963
-3.25,-3.1,0.06873
-3.25,-3.2,0.0
-3.25,-3.3,0.0
-3.25,-3.4,0.0
-3.25,-3.5,0.0
-3.0,2.0,0.99675
-3.0,1.9,0.99675
-3.0,1.8,0.99674
-3.0,1.7,0.99674
-3.0,1.6,0.99673
-3.0,1.5,0.99673
-3.0,1.4,0.99672
-3.0,1.3,0.99671
-3.0,1.2,0.9967
-3.0,1.1,0.99668
-3.0,1.0,0.99666
-3.0,0.9,0.99664
-3.0,0.8,0.9966
-3.0,0.7,0.99656
-3.0,0.6,0.99651
-3.0,0.5,0.99645
-3.0,0.4,0.99637
-3.0,0.3,0.99627
-3.0,0.2,0.99614
-3.0,0.1,0.99598
-3.0,0.0,0.99578
-3.0,-0.1,0.99552
-3.0,-0.2,0.9952
-3.0,-0.3,0.9948
-3.0,-0.4,0.99429
-3.0,-0.5,0.99365
-3.0,-0.6,0.99284
-3.0,-0.7,0.99183
-3.0,-0.8,0.99056
-3.0,-0.9,0.98895
-3.0,-1.0,0.98693
-3.0,-1.1,0.98438
-3.0,-1.2,0.98118
-3.0,-1.3,0.97714
-3.0,-1.4,0.97206
-3.0,-1.5,0.96567
-3.0,-1.6,0.95762
-3.0,-1.7,0.94748
-3.0,-1.8,0.93473
-3.0,-1.9,0.91866
-3.0,-2.0,0.89844
-3.0,-2.1,0.87299
-3.0,-2.2,0.84094
-3.0,-2.3,0.80059
-3.0,-2.4,0.7498
-3.0,-2.5,0.68585
-3.0,-2.6,0.60535
-3.0,-2.7,0.504
-3.0,-2.8,0.37642
-3.0,-2.9,0.21579
-3.0,-3.0,0.01358
-3.0,-3.1,0.0
-3.0,-3.2,0.0
-3.0,-3.3,0.0
-3.0,-3.4,0.0
-3.0,-3.5,0.0
-2.75,2.0,0.99649
-2.75,1.9,0.99648
-2.75,1.8,0.99648
-2.75,1.7,0.99647
-2.75,1.6,0.99647
-2.75,1.5,0.99646
-2.75,1.4,0.99645
-2.75,1.3,0.99643
-2.75,1.2,0.99642
-2.75,1.1,0.9964
-2.75,1.0,0.99637
-2.75,0.9,0.99633
-2.75,0.8,0.99629
-2.75,0.7,0.99624
-2.75,0.6,0.99617
-2.75,0.5,0.99609
-2.75,0.4,0.99598
-2.75,0.3,0.99584
-2.75,0.2,0.99567
-2.75,0.1,0.99546
-2.75,0.0,0.99519
-2.75,-0.1,0.99485
-2.75,-0.2,0.99442
-2.75,-0.3,0.99388
-2.75,-0.4,0.99321
-2.75,-0.5,0.99235
-2.75,-0.6,0.99128
-2.75,-0.7,0.98993
-2.75,-0.8,0.98823
-2.75,-0.9,0.98609
-2.75,-1.0,0.98339
-2.75,-1.1,0.97999
-2.75,-1.2,0.97572
-2.75,-1.3,0.97034
-2.75,-1.4,0.96357
-2.75,-1.5,0.95504
-2.75,-1.6,0.9443
-2.75,-1.7,0.93079
-2.75,-1.8,0.91378
-2.75,-1.9,0.89236
-2.75,-2.0,0.86539
-2.75,-2.1,0.83144
-2.75,-2.2,0.78871
-2.75,-2.3,0.7349
-2.75,-2.4,0.66717
-2.75,-2.5,0.5819
-2.75,-2.6,0.47455
-2.75,-2.7,0.3394
-2.75,-2.8,0.16926
-2.75,-2.9,0.0
-2.75,-3.0,0.0
-2.75,-3.1,0.0
-2.75,-3.2,0.0
-2.75,-3.3,0.0
-2.75,-3.4,0.0
-2.75,-3.5,0.0
-2.5,2.0,0.99602
-2.5,1.9,0.99602
-2.5,1.8,0.99601
-2.5,1.7,0.996
-2.5,1.6,0.99599
-2.5,1.5,0.99598
-2.5,1.4,0.99597
-2.5,1.3,0.99595
-2.5,1.2,0.99593
-2.5,1.1,0.9959
-2.5,1.0,0.99586
-2.5,0.9,0.99582
-2.5,0.8,0.99576
-2.5,0.7,0.99569
-2.5,0.6,0.9956
-2.5,0.5,0.99549
-2.5,0.4,0.99534
-2.5,0.3,0.99516
-2.5,0.2,0.99494
-2.5,0.1,0.99465
-2.5,0.0,0.99429
-2.5,-0.1,0.99384
-2.5,-0.2,0.99327
-2.5,-0.3,0.99255
-2.5,-0.4,0.99165
-2.5,-0.5,0.99051
-2.5,-0.6,0.98908
-2.5,-0.7,0.98728
-2.5,-0.8,0.98501
-2.5,-0.9,0.98215
-2.5,-1.0,0.97855
-2.5,-1.1,0.97403
-2.5,-1.2,0.96833
-2.5,-1.3,0.96115
-2.5,-1.4,0.95212
-2.5,-1.5,0.94075
-2.5,-1.6,0.92644
-2.5,-1.7,0.90841
-2.5,-1.8,0.88572
-2.5,-1.9,0.85716
-2.5,-2.0,0.8212
-2.5,-2.1,0.77593
-2.5,-2.2,0.71894
-2.5,-2.3,0.64719
-2.5,-2.4,0.55687
-2.5,-2.5,0.44316
-2.5,-2.6,0.3
-2.5,-2.7,0.11978
-2.5,-2.8,0.0
-2.5,-2.9,0.0
-2.5,-3.0,0.0
-2.5,-3.1,0.0
-2.5,-3.2,0.0
-2.5,-3.3,0.0
-2.5,-3.4,0.0
-2.5,-3.5,0.0
-2.25,2.0,0.9952
-2.25,1.9,0.99519
-2.25,1.8,0.99518
-2.25,1.7,0.99517
-2.25,1.6,0.99516
-2.25,1.5,0.99514
-2.25,1.4,0.99513
-2.25,1.3,0.9951
-2.25,1.2,0.99507
-2.25,1.1,0.99503
-2.25,1.0,0.99499
-2.25,0.9,0.99492
-2.25,0.8,0.99485
-2.25,0.7,0.99475
-2.25,0.6,0.99463
-2.25,0.5,0.99448
-2.25,0.4,0.99429
-2.25,0.3,0.99405
-2.25,0.2,0.99375
-2.25,0.1,0.99337
-2.25,0.0,0.99289
-2.25,-0.1,0.99228
-2.25,-0.2,0.99152
-2.25,-0.3,0.99057
-2.25,-0.4,0.98936
-2.25,-0.5,0.98785
-2.25,-0.6,0.98594
-2.25,-0.7,0.98353
-2.25,-0.8,0.98051
-2.25,-0.9,0.9767
-2.25,-1.0,0.9719
-2.25,-1.1,0.96587
-2.25,-1.2,0.95827
-2.25,-1.3,0.9487
-2.25,-1.4,0.93666
-2.25,-1.5,0.92149
-2.25,-1.6,0.9024
-2.25,-1.7,0.87837
-2.25,-1.8,0.84811
-2.25,-1.9,0.81002
-2.25,-2.0,0.76207
-2.25,-2.1,0.7017
