l,xi,xmax
-5.0,6.0,0.999581
-5.0,5.9,0.999581
-5.0,5.8,0.999581
-5.0,5.7,0.999581
-5.0,5.6,0.999581
-5.0,5.5,0.999581
-5.0,5.4,0.999581
-5.0,5.3,0.999581
-5.0,5.2,0.999581
-5.0,5.1,0.999581
-5.0,5.0,0.999581
-5.0,4.9,0.999581
-5.0,4.8,0.999581
-5.0,4.7,0.999581
-5.0,4.6,0.999581
-5.0,4.5,0.999581
-5.0,4.4,0.999581
-5.0,4.3,0.999581
-5.0,4.2,0.999581
-5.0,4.1,0.999581
-5.0,4.0,0.999581
-5.0,3.9,0.999581
-5.0,3.8,0.999581
-5.0,3.7,0.999581
-5.0,3.6,0.999581
-5.0,3.5,0.999581
-5.0,3.4,0.999581
-5.0,3.3,0.999581
-5.0,3.2,0.999581
-5.0,3.1,0.999581
-5.0,3.0,0.999581
-5.0,2.9,0.999581
-5.0,2.8,0.999581
-5.0,2.7,0.999581
-5.0,2.6,0.999581
-5.0,2.5,0.999581
-5.0,2.4,0.999581
-5.0,2.3,0.999581
-5.0,2.2,0.999581
-5.0,2.1,0.999581
-5.0,2.0,0.999581
-5.0,1.9,0.999581
-5.0,1.8,0.99958
-5.0,1.7,0.99958
-5.0,1.6,0.99958
-5.0,1.5,0.99958
-5.0,1.4,0.99958
-5.0,1.3,0.999579
-5.0,1.2,0.999579
-5.0,1.1,0.999578
-5.0,1.0,0.999577
-5.0,0.9,0.999576
-5.0,0.8,0.999575
-5.0,0.7,0.999574
-5.0,0.6,0.999572
-5.0,0.5,0.999569
-5.0,0.4,0.999566
-5.0,0.3,0.999562
-5.0,0.2,0.999558
-5.0,0.1,0.999551
-5.0,0.0,0.999544
-5.0,-0.1,0.999534
-5.0,-0.2,0.999522
-5.0,-0.3,0.999507
-5.0,-0.4,0.999488
-5.0,-0.5,0.999463
-5.0,-0.6,0.999433
-5.0,-0.7,0.999395
-5.0,-0.8,0.999346
-5.0,-0.9,0.999285
-5.0,-1.0,0.999209
-5.0,-1.1,0.999113
-5.0,-1.2,0.998991
-5.0,-1.3,0.998838
-5.0,-1.4,0.998646
-5.0,-1.5,0.998404
-5.0,-1.6,0.998099
-5.0,-1.7,0.997715
-5.0,-1.8,0.997232
-5.0,-1.9,0.996624
-5.0,-2.0,0.995858
-5.0,-2.1,0.994894
-5.0,-2.2,0.99368
-5.0,-2.3,0.992152
-5.0,-2.4,0.990229
-5.0,-2.5,0.987807
-5.0,-2.6,0.984759
-5.0,-2.7,0.980921
-5.0,-2.8,0.976089
-5.0,-2.9,0.970007
-5.0,-3.0,0.962349
-5.0,-3.1,0.952709
-5.0,-3.2,0.940572
-5.0,-3.3,0.925293
-5.0,-3.4,0.906058
-5.0,-3.5,0.881843
-5.0,-3.6,0.851357
-5.0,-3.7,0.812978
-5.0,-3.8,0.764662
-5.0,-3.9,0.703835
-5.0,-4.0,0.627259
-5.0,-4.1,0.530855
-5.0,-4.2,0.40949
-5.0,-4.3,0.256701
-5.0,-4.4,0.06435
-5.0,-4.5,0.0
-5.0,-4.6,0.0
-5.0,-4.7,0.0
-5.0,-4.8,0.0
-5.0,-4.9,0.0
-5.0,-5.0,0.0
-4.75,6.0,0.999579
-4.75,5.9,0.999579
-4.75,5.8,0.999579
-4.75,5.7,0.999578
-4.75,5.6,0.999579
-4.75,5.5,0.999578
-4.75,5.4,0.999579
-4.75,5.3,0.999579
-4.75,5.2,0.999579
-4.75,5.1,0.999579
-4.75,5.0,0.999578
-4.75,4.9,0.999578
-4.75,4.8,0.999579
-4.75,4.7,0.999578
-4.75,4.6,0.999579
-4.75,4.5,0.999578
-4.75,4.4,0.999578
-4.75,4.3,0.999579
-4.75,4.2,0.999578
-4.75,4.1,0.999579
-4.75,4.0,0.999578
-4.75,3.9,0.999578
-4.75,3.8,0.999579
-4.75,3.7,0.999578
-4.75,3.6,0.999579
-4.75,3.5,0.999579
-4.75,3.4,0.999578
-4.75,3.3,0.999578
-4.75,3.2,0.999578
-4.75,3.1,0.999578
-4.75,3.0,0.999578
-4.75,2.9,0.999578
-4.75,2.8,0.999578
-4.75,2.7,0.999578
-4.75,2.6,0.999578
-4.75,2.5,0.999578
-4.75,2.4,0.999578
-4.75,2.3,0.999578
-4.75,2.2,0.999578
-4.75,2.1,0.999578
-4.75,2.0,0.999578
-4.75,1.9,0.999578
-4.75,1.8,0.999578
-4.75,1.7,0.999577
-4.75,1.6,0.999577
-4.75,1.5,0.999577
-4.75,1.4,0.999576
-4.75,1.3,0.999576
-4.75,1.2,0.999575
-4.75,1.1,0.999575
-4.75,1.0,0.999574
-4.75,0.9,0.999572
-4.75,0.8,0.999571
-4.75,0.7,0.999569
-4.75,0.6,0.999566
-4.75,0.5,0.999563
-4.75,0.4,0.999559
-4.75,0.3,0.999554
-4.75,0.2,0.999547
-4.75,0.1,0.999539
-4.75,0.0,0.999529
-4.75,-0.1,0.999516
-4.75,-0.2,0.9995
-4.75,-0.3,0.999479
-4.75,-0.4,0.999454
-4.75,-0.5,0.999422
-4.75,-0.6,0.999381
-4.75,-0.7,0.99933
-4.75,-0.8,0.999265
-4.75,-0.9,0.999184
-4.75,-1.0,0.999082
-4.75,-1.1,0.998953
-4.75,-1.2,0.998792
-4.75,-1.3,0.998588
-4.75,-1.4,0.998331
-4.75,-1.5,0.998009
-4.75,-1.6,0.997602
-4.75,-1.7,0.99709
-4.75,-1.8,0.996446
-4.75,-1.9,0.995635
-4.75,-2.0,0.994614
-4.75,-2.1,0.993328
-4.75,-2.2,0.991709
-4.75,-2.3,0.989672
-4.75,-2.4,0.987107
-4.75,-2.5,0.983878
-4.75,-2.6,0.979813
-4.75,-2.7,0.974695
-4.75,-2.8,0.968251
-4.75,-2.9,0.96014
-4.75,-3.0,0.949929
-4.75,-3.1,0.937073
-4.75,-3.2,0.920889
-4.75,-3.3,0.900514
-4.75,-3.4,0.874863
-4.75,-3.5,0.842572
-4.75,-3.6,0.801919
-4.75,-3.7,0.750739
-4.75,-3.8,0.686308
-4.75,-3.9,0.605195
-4.75,-4.0,0.503079
-4.75,-4.1,0.374523
-4.75,-4.2,0.21268
-4.75,-4.3,0.008931
-4.75,-4.4,0.0
-4.75,-4.5,0.0
-4.75,-4.6,0.0
-4.75,-4.7,0.0
-4.75,-4.8,0.0
-4.75,-4.9,0.0
-4.75,-5.0,0.0
-4.5,6.0,0.999574
-4.5,5.9,0.999574
-4.5,5.8,0.999574
-4.5,5.7,0.999574
-4.5,5.6,0.999574
-4.5,5.5,0.999574
-4.5,5.4,0.999574
-4.5,5.3,0.999574
-4.5,5.2,0.999574
-4.5,5.1,0.999574
-4.5,5.0,0.999574
-4.5,4.9,0.999574
-4.5,4.8,0.999574
-4.5,4.7,0.999574
-4.5,4.6,0.999574
-4.5,4.5,0.999574
-4.5,4.4,0.999574
-4.5,4.3,0.999574
-4.5,4.2,0.999574
-4.5,4.1,0.999574
-4.5,4.0,0.999574
-4.5,3.9,0.999574
-4.5,3.8,0.999574
-4.5,3.7,0.999574
-4.5,3.6,0.999574
-4.5,3.5,0.999574
-4.5,3.4,0.999574
-4.5,3.3,0.999574
-4.5,3.2,0.999574
